book	chapter	verse	triggers	text
Ecclesiastes	1	1	king,son	The words of the Preacher, the son of Dawid, king in Yerushalayim:
Ecclesiastes	1	2		"""Vanity of vanities,"" says the Preacher; ""Vanity of vanities, all is vanity."""
Ecclesiastes	1	3	person	What does a person gain from all their labor in which they labor under the sun?
Ecclesiastes	1	4		One generation goes, and another generation comes; but the earth remains forever.
Ecclesiastes	1	5		The sun also rises, and the sun goes down, and hurries to its place where it rises.
Ecclesiastes	1	6		The wind goes toward the south, and turns around to the north. It turns around continually as it goes, and the wind returns again to its courses.
Ecclesiastes	1	7		All the rivers run into the sea, yet the sea is not full. To the place where the rivers flow, there they flow again.
Ecclesiastes	1	8		All things are full of weariness beyond uttering. The eye is not satisfied with seeing, nor the ear filled with hearing.
Ecclesiastes	1	9		That which has been is that which shall be; and that which has been done is that which shall be done: and there is no new thing under the sun.
Ecclesiastes	1	10		"Is there a thing of which it may be said, ""Behold, this is new?"" It has been long ago, in the ages which were before us."
Ecclesiastes	1	11		There is no memory of the former; neither shall there be any memory of the latter that are to come, among those that shall come after.
Ecclesiastes	1	12	king	I, the Preacher, was king over Israel in Yerushalayim.
Ecclesiastes	1	13	human	I applied my heart to seek and to search out by wisdom concerning all that is done under the heavens. It is a heavy burden that Elohim has given to the human beings to be afflicted with.
Ecclesiastes	1	14		I have seen all the works that are done under the sun; and behold, all is vanity and a chasing after wind.
Ecclesiastes	1	15		That which is crooked can't be made straight; and that which is lacking can't be counted.
Ecclesiastes	1	16		"I said to myself, ""Behold, I have obtained for myself great wisdom above all who were before me in Yerushalayim. Yes, my heart has had great experience of wisdom and knowledge."""
Ecclesiastes	1	17		I applied my heart to know wisdom, and to know madness and folly. I perceived that this also was a chasing after wind.
Ecclesiastes	1	18		For in much wisdom is much grief; and the one who increases knowledge increases sorrow.
Ecclesiastes	2	1		"I said in my heart, ""Come now, I will test you with mirth: therefore enjoy pleasure;"" and behold, this also was vanity."
Ecclesiastes	2	2		"I said of laughter, ""It is foolishness;"" and of mirth, ""What does it accomplish?"""
Ecclesiastes	2	3	human	I searched in my heart how to cheer my flesh with wine, my heart yet guiding me with wisdom, and how to lay hold of folly, until I might see what it was good for the human beings that they should do under heavens all the days of their lives.
Ecclesiastes	2	4		I made myself great works. I built myself houses. I planted myself vineyards.
Ecclesiastes	2	5		I made myself gardens and parks, and I planted trees in them of all kinds of fruit.
Ecclesiastes	2	6		I made myself pools of water, to water from it the forest where trees were reared.
Ecclesiastes	2	7		I bought male servants and female servants, and had servants born in my house. I also had great possessions of herds and flocks, above all who were before me in Yerushalayim;
Ecclesiastes	2	8	human	I also gathered silver and gold for myself, and the treasure of kings and of the provinces. I got myself male and female singers, and the delights of the human beings--musical instruments, and that of all sorts.
Ecclesiastes	2	9		So I was great, and increased more than all who were before me in Yerushalayim. My wisdom also remained with me.
Ecclesiastes	2	10		Whatever my eyes desired, I didn't keep from them. I didn't withhold my heart from any joy, for my heart rejoiced because of all my labor, and this was my portion from all my labor.
Ecclesiastes	2	11		Then I looked at all the works that my hands had worked, and at the labor that I had labored to do; and behold, all was vanity and a chasing after wind, and there was no profit under the sun.
Ecclesiastes	2	12	king	I turned myself to consider wisdom, madness, and folly: for what can the king's successor do? Just that which has been done long ago.
Ecclesiastes	2	13		Then I saw that wisdom excels folly, as far as light excels darkness.
Ecclesiastes	2	14	person	The wise person's eyes are in their head, and the fool walks in darkness-- and yet I perceived that one event happens to them all.
Ecclesiastes	2	15		"Then said I in my heart, ""As it happens to the fool, so will it happen even to me; and why was I then more wise?"" Then said I in my heart that this also is vanity."
Ecclesiastes	2	16	person	For of the wise person, even as of the fool, there is no memory for ever, seeing that in the days to come all will have been long forgotten. Indeed, the wise person must die just like the fool!
Ecclesiastes	2	17		So I hated life, because the work that is worked under the sun was grievous to me; for all is vanity and a chasing after wind.
Ecclesiastes	2	18		I hated all my labor in which I labored under the sun, seeing that I must leave it to the one who comes after me.
Ecclesiastes	2	19	he,person	Who knows whether they will be a wise person or a fool? Yet he will have rule over all of my labor in which I have labored, and in which I have shown myself wise under the sun. This also is vanity.
Ecclesiastes	2	20		Therefore I began to cause my heart to despair concerning all the labor in which I had labored under the sun.
Ecclesiastes	2	21	person	For there is a person whose labor is with wisdom, with knowledge, and with skillfulness; yet they shall leave it for their portion to a person who has not labored for it. This also is vanity and a great brokenness.
Ecclesiastes	2	22	person	For what does a person gain from all their labor and from the striving of their heart, in which they labor under the sun?
Ecclesiastes	2	23		For all their days are sorrows, and their travail is grief; yes, even in the night their heart takes no rest. This also is vanity.
Ecclesiastes	2	24	person	There is nothing better for a person than that they should eat and drink, and make their soul enjoy good in their labor. This also I saw, that it is from the hand of Elohim.
Ecclesiastes	2	25		For who can eat, or who can have enjoyment, more than I?
Ecclesiastes	2	26	him	For to the one who pleases him, Elohim gives wisdom, knowledge, and joy; but to the sinner they give travail, to gather and to heap up, that they may give to the one who pleases Elohim. This also is vanity and a chasing after wind.
Ecclesiastes	3	1		For everything there is a season, and a time for every purpose under heavens:
Ecclesiastes	3	2		a time to be born, and a time to die; a time to plant, and a time to pluck up that which is planted;
Ecclesiastes	3	3		a time to kill, and a time to heal; a time to break down, and a time to build up;
Ecclesiastes	3	4		a time to weep, and a time to laugh; a time to mourn, and a time to dance;
Ecclesiastes	3	5		a time to cast away stones, and a time to gather stones together; a time to embrace, and a time to refrain from embracing;
Ecclesiastes	3	6		a time to seek, and a time to lose; a time to keep, and a time to cast away;
