reference	text
Matthew 1:1	The scroll of the generations of Yeshua the Messiah, son of Dawid, son of Avraham.
Matthew 1:2	Avraham became the father of Yitzhak. Yitzhak became the father of Ya'akov. Ya'akov became the father of Yehudah and his brothers.
Matthew 1:3	Yehudah became the father of Peretz and Zerach by Tamar. Peretz became the father of Chetzron. Chetzron became the father of Ram.
Matthew 1:4	Ram became the father of Amminadav. Amminadav became the father of Nachshon. Nachshon became the father of Salmon.
Matthew 1:5	Salmon became the father of Boaz by Rachav. Boaz became the father of Oved by Rut. Oved became the father of Yishai.
Matthew 1:6	Yishai became the father of Dawid the king. Dawid became the father of Shlomo by her who had been the wife of Uriyah.
Matthew 1:7	Shlomo became the father of Rechavam. Rechavam became the father of Aviyah. Aviyah became the father of Asa.
Matthew 1:8	Asa became the father of Yehoshafat. Yehoshafat became the father of Yoram. Yoram became the father of Uzziyah.
Matthew 1:9	Uzziyah became the father of Yotam. Yotam became the father of Achaz. Achaz became the father of Chizkiyahu.
Matthew 1:10	Chizkiyahu became the father of Menashe. Menashe became the father of Amon. Amon became the father of Yoshiyahu.
Matthew 1:11	Yoshiyahu became the father of Yekhonyahu and his brothers, at the time of the exile to Bavel.
Matthew 1:12	After the exile to Bavel, Yekhonyahu became the father of She'altiel. She'altiel became the father of Zerubavel.
Matthew 1:13	Zerubavel became the father of Abiud. Abiud became the father of Eliakim. Eliakim became the father of Azor.
Matthew 1:14	Azor became the father of Tzadok. Tzadok became the father of Achim. Achim became the father of Eliud.
Matthew 1:15	Eliud became the father of Elazar. Elazar became the father of Matthan. Matthan became the father of Ya'akov.
Matthew 1:16	Ya'akov became the father of Yosef, the husband of Maryam, from whom was born Yeshua, who is called Messiah.
Matthew 1:17	So all the generations from Avraham to Dawid are fourteen generations; from Dawid to the exile to Bavel fourteen generations; and from the carrying away to Bavel to the Messiah, fourteen generations.
Matthew 1:18	Now the birth of Yeshua the Messiah was like this; for after his mother, Maryam, was engaged to Yosef, before they came together, she was found pregnant by the Ruach of Elohim.
Matthew 1:19	Yosef, her husband, being a righteous person, and not willing to make her a public example, intended to put her away secretly.
Matthew 1:20	"But when he thought about these things, behold, a messenger of YHWH appeared to him in a dream, saying, ""Yosef, son of Dawid, don't be afraid to take to yourself Maryam, your wife, for that which is conceived in her is of the Ruach of Elohim."
Matthew 1:21	"She shall bring forth a son. You shall call his name Yeshua, for he shall save his people from their sins."""
Matthew 1:22	Now all this has happened, that it might be fulfilled which was spoken by YHWH through the prophet, saying,
Matthew 1:23	"""Behold, the virgin shall be with child, and shall bring forth a son. They shall call his name Immanuel;"" which is, being interpreted, ""Elohim with us."""
Matthew 1:24	Yosef arose from his sleep, and did as the messenger of YHWH commanded him, and took his wife to himself;
Matthew 1:25	and didn't know her sexually until she had brought forth her firstborn son. He named him Yeshua.
Matthew 2:1	Now when Yeshua was born in Beit Lechem of Yehudah in the days of Herodes the king, behold, wise people from the east came to Yerushalayim, saying,
Matthew 2:2	"""Where is the one who is born King of the Judeans? For we saw his star in the east, and have come to worship him."""
Matthew 2:3	When Herodes the king heard it, he was troubled, and all Yerushalayim with him.
Matthew 2:4	Gathering together all the chief priests and scribes of the people, he asked them where the Messiah would be born.
Matthew 2:5	"They said to him, ""In Beit Lechem of Yehudah, for thus it is written through the prophet,"
Matthew 2:6	"'You Beit Lechem, land of Yehudah, are in no way least among the princes of Yehudah: for out of you shall come forth a governor, who shall shepherd my people, Israel.'"""
Matthew 2:7	Then Herodes secretly called the wise people, and learned from them exactly what time the star appeared.
Matthew 2:8	"He sent them to Beit Lechem, and said, ""Go and search diligently for the young child. When you have found him, bring me word, so that I also may come and worship him."""
Matthew 2:9	They, having heard the king, went their way; and behold, the star, which they saw in the east, went before them, until it came and stood over where the young child was.
Matthew 2:10	When they saw the star, they rejoiced with exceedingly great joy.
Matthew 2:11	They came into the house and saw the young child with Maryam, his mother, and they fell down and worshiped him. Opening their treasures, they offered to him gifts: gold, frankincense, and myrrh.
Matthew 2:12	Being warned in a dream that they shouldn't return to Herodes, they went back to their own country another way.
Matthew 2:13	"Now when they had departed, behold, a messenger of YHWH appeared to Yosef in a dream, saying, ""Arise and take the young child and his mother, and flee into Mitzrayim, and stay there until I tell you, for Herodes will seek the young child to destroy him."""
Matthew 2:14	He arose and took the young child and his mother by night, and departed into Mitzrayim,
Matthew 2:15	"and was there until the death of Herodes; that it might be fulfilled which was spoken by YHWH through the prophet, saying, ""Out of Mitzrayim I called my son."""
Matthew 2:16	Then Herodes, when he saw that he was mocked by the wise people, was exceedingly angry, and sent out, and killed all the male children who were in Beit Lechem and in all the surrounding countryside, from two years old and under, according to the exact time which he had learned from the wise people.
Matthew 2:17	Then that which was spoken by Yirmeyahu the prophet was fulfilled, saying,
Matthew 2:18	"""A voice was heard in Ramah, lamentation, weeping and great mourning, Rakhel weeping for her children; she wouldn't be comforted, because they are no more."""
Matthew 2:19	But when Herodes was dead, behold, a messenger of YHWH appeared in a dream to Yosef in Mitzrayim, saying,
Matthew 2:20	"""Arise and take the young child and his mother, and go into the land of Israel, for those who sought the young child's life are dead."""
Matthew 2:21	He arose and took the young child and his mother, and came into the land of Israel.
Matthew 2:22	But when he heard that Archelaos was reigning over Yehudah in the place of his father, Herodes, he was afraid to go there. Being warned in a dream, he withdrew into the region of Galil,
Matthew 2:23	"and came and lived in a city called Natzeret; that it might be fulfilled which was spoken through the prophets: ""He will be called a Nazarene."""
Matthew 3:1	In those days, Yochanan the Baptizer came, preaching in the wilderness of Yehudah, saying,
Matthew 3:2	"""Turn back, for the reign of the heavens has drawn near!"""
Matthew 3:3	"For this is the one who was spoken of by Yeshayahu the prophet, saying, ""The voice of one crying in the wilderness, make ready the way of YHWH. Make his paths straight."""
Matthew 3:4	Now Yochanan himself wore clothing made of camel's hair, with a leather belt around his waist. His food was locusts and wild honey.
Matthew 3:5	Then people from Yerushalayim, all of Yehudah, and all the region around the Yarden went out to him.
Matthew 3:6	They were immersed by him in the Yarden, confessing their sins.
Matthew 3:7	"But when he saw many of the Pharisees and Sadducees coming for his immersion, he said to them, ""You offspring of vipers, who warned you to flee from the wrath to come?"
Matthew 3:8	Therefore bring forth fruit worthy of turning back!
Matthew 3:9	Don't think to yourselves, 'We have Avraham for our father,' for I tell you that Elohim is able to raise up children to Avraham from these stones.
Matthew 3:10	"""Even now the axe lies at the root of the trees. Therefore, every tree that doesn't bring forth good fruit is cut down, and cast into the fire."
Matthew 3:11	I indeed immerse you in water for turning back, but the one who comes after me is mightier than I, whose shoes I am not worthy to carry. He will immerse you in the Ruach of Elohim.
Matthew 3:12	"His winnowing fork is in his hand, and he will thoroughly cleanse his threshing floor. He will gather his wheat into the barn, but the chaff he will burn up with unquenchable fire."""
Matthew 3:13	Then Yeshua came from Galil to the Yarden to Yochanan, to be immersed by him.
Matthew 3:14	"But Yochanan would have hindered him, saying, ""I need to be immersed by you, and you come to me?"""
Matthew 3:15	"But Yeshua, answering, said to him, ""Allow it now, for this is the fitting way for us to fulfill all righteousness."" Then he allowed him."
Matthew 3:16	Yeshua, when he was immersed, went up directly from the water: and behold, the heavens were opened to him. He saw the Ruach of Elohim descending as a dove, and coming on him.
Matthew 3:17	"Behold, a voice out of the heavens said, ""This is my beloved Son, with whom I am well pleased."""
Matthew 4:1	Then Yeshua was led up by the Ruach into the wilderness to be tempted by the Slanderer.
Matthew 4:2	When he had fasted forty days and forty nights, he was hungry afterward.
Matthew 4:3	"The tempter came and said to him, ""If you are the Son of Elohim, command that these stones become bread."""
Matthew 4:4	"But he answered, ""It is written, 'A person shall not live by bread alone, but by every word that proceeds out of the mouth of Elohim.'"""
Matthew 4:5	Then the Slanderer took him into the holy city. He set him on the pinnacle of the temple,
Matthew 4:6	"and said to him, ""If you are the Son of Elohim, throw yourself down, for it is written, 'He will give his angels charge concerning you.' and, 'On their hands they will bear you up, so that you don't dash your foot against a stone.'"""
Matthew 4:7	"Yeshua said to him, ""Again, it is written, 'You shall not test YHWH your God.'"""
Matthew 4:8	Again, the Slanderer took him to an exceedingly high mountain, and showed him all the kingdoms of the world, and their glory.
Matthew 4:9	"He said to him, ""I will give you all of these things, if you will fall down and worship me."""
Matthew 4:10	"Then Yeshua said to him, ""Get behind me, the Adversary! For it is written, 'You shall worship YHWH your God, and YHWH only shall you serve.'"""
Matthew 4:11	Then the Slanderer left him, and behold, angels came and served him.
Matthew 4:12	Now when Yeshua heard that Yochanan was delivered up, he withdrew into Galil.
Matthew 4:13	Leaving Natzeret, he came and lived in Kfar Nachum, which is by the sea, in the region of Zevulun and Naphtali,
Matthew 4:14	that it might be fulfilled which was spoken through Yeshayahu the prophet, saying,
Matthew 4:15	"""The land of Zevulun and the land of Naphtali, toward the sea, beyond the Yarden, Galil of the Gentiles,"
Matthew 4:16	"the people who sat in darkness saw a great light, to those who sat in the region and shadow of death, to them light has dawned."""
Matthew 4:17	"From that time Yeshua began to proclaim, and to say, ""Turn back, for the reign of the heavens has drawn near."""
Matthew 4:18	Walking by the sea of Galil, he saw two brothers: Shimon (called Kepha), and Andreas, his brother, casting a net into the sea; for they were fishermen.
Matthew 4:19	"He said to them, ""Come after me, and I will make you fishers for people."""
Matthew 4:20	They immediately left their nets and followed him.
Matthew 4:21	Going on from there, he saw two other brothers, Ya'akov the son of Zebedee, and Yochanan his brother, in the boat with Zebedee their father, mending their nets. He called them.
Matthew 4:22	They immediately left the boat and their father, and followed him.
Matthew 4:23	Yeshua went about in all Galil, teaching in their synagogues, preaching the good news of the reign, and healing every disease and every sickness among the people.
Matthew 4:24	The report about him went out into all Aram. They brought to him all who were sick, afflicted with various diseases and torments, possessed with demons, epileptics, and paralytics; and he healed them.
Matthew 4:25	Great multitudes from Galil, Decapolis, Yerushalayim, Yehudah and from beyond the Yarden followed him.
Matthew 5:1	Seeing the multitudes, he went up onto the mountain. When he had sat down, his disciples came to him.
Matthew 5:2	He opened his mouth and taught them, saying,
Matthew 5:3	"""Blessed and ripening are the poor in spirit, for theirs is the reign of the heavens."
Matthew 5:4	Blessed are those who mourn, for they shall be comforted.
Matthew 5:5	Blessed are the gentle, for they shall inherit the earth.
Matthew 5:6	Blessed are those who hunger and thirst after righteousness, for they shall be filled.
Matthew 5:7	Blessed are the merciful, for they shall obtain mercy.
Matthew 5:8	Blessed are the clarified in heart, for they shall see Elohim.
Matthew 5:9	Blessed are the peacemakers, for they shall be called children of Elohim.
Matthew 5:10	Blessed are those who have been persecuted for righteousness' sake, for theirs is the reign of the heavens.
Matthew 5:11	"""Blessed are you when people reproach you, persecute you, and say all kinds of unripeness against you falsely, for my sake."
Matthew 5:12	Rejoice, and be exceedingly glad, for great is your reward in heaven. For that is how they persecuted the prophets who were before you.
Matthew 5:13	"""You are the salt of the earth, but if the salt has lost its flavor, with what will it be salted? It is then good for nothing, but to be cast out and trodden under the feet of people."
Matthew 5:14	You are the light of the world. A city located on a hill can't be hidden.
Matthew 5:15	Neither do you light a lamp, and put it under a measuring basket, but on a stand; and it shines to all who are in the house.
Matthew 5:16	Even so, let your light shine before people; that they may see your good works, and glorify your Cosmic Parent who is in heaven.
Matthew 5:17	"""Don't think that I came to destroy the law or the prophets. I didn't come to destroy, but to fulfill."
Matthew 5:18	For most certainly, I tell you, until heaven and earth pass away, not even one smallest letter or one tiny pen stroke shall in any way pass away from the law, until all things are accomplished.
Matthew 5:19	Whoever, therefore, shall break one of these least commandments, and teach others to do so, shall be called least in the reign of the heavens; but whoever shall do and teach them shall be called great in the reign of the heavens.
Matthew 5:20	For I tell you that unless your righteousness exceeds that of the scribes and Pharisees, there is no way you will enter into the reign of the heavens.
Matthew 5:21	"""You have heard that it was said to the ancient ones, 'You shall not murder;' and 'Whoever shall murder shall be in danger of the judgment.'"
Matthew 5:22	But I tell you, that everyone who is angry with their brother or sister without a cause shall be in danger of the judgment; and whoever shall say to their brother or sister, 'Raca!' shall be in danger of the council; and whoever shall say, 'You fool!' shall be in danger of the fire of Gehenna.
Matthew 5:23	"""If therefore you are offering your gift at the altar, and there remember that your brother or sister has anything against you,"
